Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,Canada,Import,Food Products,Import (US$ Thousand),2394766.216,2585330.068,3059637.668,3437200.376,3755551.92,4113878.968,4350661.321,4713182.654,5115975.671,5858909.35,6410399.343,6549840.471,6919619.591,7180453.935,7613578.287,7036609.586,7830205.672,8823348.914,9477500.184,10090743.76,10578720.38,10753200.88,11127633.6,11482297.68,12281775.38,12905115.36,13424122.48,15886197.65
United States,Canada,Import, Intermediate goods,Import (US$ Thousand),35256487.73,41222413.36,42320718.88,44587169.29,44905458.84,47719485.5,51090331.68,48181058.7,46971705.61,48411765.2,60121959.98,66711798.99,72528708.81,74150789.13,77220380.41,51227863.2,65125550.3,72452755.31,67621004.67,70938090.22,73996268.87,67346748.86,64230778.87,62132292.94,66544697.07,65483982.62,64122796.84,91173305.03
United States,Canada,Import,Miscellaneous,Import (US$ Thousand),10542064.31,11928562.61,13217788.47,14404519.52,17571587.04,20762149.81,9079235.543,7859966.691,7723337.729,7763481.486,8553525.091,8910413.808,9191546.037,23817393.23,23366431.07,17429418.93,16989705.12,18434051.61,19195420.77,19956145.53,21822481.5,25196763.38,26994267.35,26390360.9,27763273.57,30308026.94,26880903.97,29064273.83
United States,Canada,Import,Hides and Skins,Import (US$ Thousand),253687.376,266344.36,312696.096,326159.144,289020.712,281275.344,312170.545,292402.918,261974.265,240768.816,249388.458,237999.382,239854.811,215569.176,212319.067,169692.656,225242.238,233929.169,275333.532,295648.686,338514.146,301304.756,233950.708,178056.314,124888.852,126733.727,104036.116,127202.383
United States,Canada,Import,Stone and Glass,Import (US$ Thousand),2692535.312,2693277.184,3243137.024,3467401.352,3586185.696,3826981.888,4411007.602,3283830.28,3679983.901,3496367.551,3925260.986,3852596.669,4728494.166,4830190.024,5483833.488,4301994.86,7369505.933,7799539.601,6543756.345,7350383.681,6934870.45,6634420.78,7077533.64,5673973.699,5248502.665,6723561.165,8138612.979,7761959.108
United States,Canada,Import,Minerals,Import (US$ Thousand),1037501.696,1066701.568,1200983.68,1146214.56,1138565.376,1088870.208,976707.46,931467.571,1080554.731,1227707.369,1275922.003,1553342.21,1649954.831,1700888.067,2503049.52,1499149.697,1706972.501,2148555.762,1986044.405,1682291.967,1971968.205,1649523.71,1325027.359,1520817.506,1814404.438,1926469.117,1988230.768,2675681.461
United States,Canada,Import,Animal,Import (US$ Thousand),2799115.312,2946536.864,3436262.672,3733093.088,3862288.9,4156867.04,4578405.482,5258411.654,5454940.766,4665141.3,4889225.417,5494907.875,5651046.419,6161937.75,6082747.095,4929346.853,5785783.912,5784899.109,5827577.987,6347049.529,7656121.794,7217483.696,7008666.745,6953544.105,6901061.154,7327986.397,6930228.546,9942558.141
United States,Canada,Import,Transportation,Import (US$ Thousand),41275532.35,44066557.82,45590756.99,48869594.46,51950565.28,62390413.38,62014993.77,57897992.73,58724227.67,60244383.6,65599397.63,68806584.6,67743286.37,68009053.16,54347070.94,37398231.26,51264528.97,55877756.73,64021558.01,62974198.65,64800514.94,64752372.79,64674107.81,61952357.25,59712514.7,60981425.43,47330319.65,44706303.54
United States,Canada,Import,Metals,Import (US$ Thousand),9857307.727,11907545.38,12057326.28,13056865.24,12986466.27,13016433.53,14240333.02,13049855.32,13823695.71,14115661.68,18254070.19,21000018.9,26648287.38,29016892.71,29745940.9,16980810.54,22456330.47,24901600.11,23174670.52,22671484.91,24604821.73,22004373.26,20588075.88,24754604.48,26484637.08,23269640.1,21387815.91,33558412.4
United States,Canada,Import,Plastic or Rubber,Import (US$ Thousand),4649515.008,5586694.912,5991938.304,6905579.392,7210236.8,7998773.248,9033446.235,9194236.434,9565225.505,10427171.05,11962971.79,13673732.6,14400875.02,13935988.02,13707495.26,10133093.41,12257112.4,13961921.61,13647361.94,13837525.89,14539565.79,13616352.05,13205999.22,13657829.42,14633686.95,13891809.62,13102135.24,17798710.42
United States,Canada,Import,Mach and Elec,Import (US$ Thousand),17465467.9,20553711.1,22648248.32,24073051.14,26134461.44,28845629.44,35705688.83,28331057.33,25439260.01,24661268.53,27785949.26,30467130.46,31113079.8,32794086.35,31901391.11,23986979.46,25833287.3,28363328.75,28947345.46,27789380.64,29185256.87,27703738.84,26724095.35,29063938.71,31444820.29,31753561.36,26385750.86,30531553.34
United States,Canada,Import, Capital goods,Import (US$ Thousand),35124203.52,38405457.04,40968851,45019205.2,47256562.61,55122705.02,62775583.18,54194288.55,51974184.51,53188804.16,56384701.69,61891960.4,60725702.39,62490526.98,53771443.03,37634946.71,40619798.77,45153782.26,46893502.18,46412420.79,49820119,49234751.08,45516506.7,47679303.08,53440810.55,55317046.02,44868602.2,51061818.15
