Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,Canada,Export,Food Products,Export (US$ Thousand),1985114.768,2201668.39,2378481.144,2688054.3,2699427.326,2955476.904,3334361.56,3593753.848,3659261.312,3800818.001,4052796.516,4276715.995,4688872.242,5062124.077,5588563.564,6346728.38,7513896.939,8875085.535,8854936.17,9777448.969,11209116.81,12192357.44,13010942.55,13607919.61,13262494.72,13224383.39,13719090.11,14003129.78,13646683.6,13219231.7,14631078.55
United States,Canada,Export, Intermediate goods,Export (US$ Thousand),14082666.43,14529685.19,16412783.82,18502305.11,21065303.13,22396783.44,25864028.89,26435195.19,27599532.49,29789208.61,28197773.75,27082902.67,28972713.27,33327813.19,37585481.82,42468119.38,44421030.3,49322582.11,35069693.12,45087568.72,50496157,51437493.97,51216556.48,51163502.03,45215344.08,42499529.76,44556788.45,46422149.93,43514871.96,42306590.98,57847367.93
United States,Canada,Export,Miscellaneous,Export (US$ Thousand),7727501.192,8778559.132,9577368.38,10758175.77,11295929.8,12427801.16,13338046.92,13316571.57,14133730.8,11423656.43,10624565.97,9960610.663,10596440.79,11851975.38,12656138.62,14142839.16,23801873.95,23841922.38,25219782.42,26052034.81,28118398.35,30241474.77,32107430.27,33056946.63,32450964.05,23506863.95,24260663.63,25121226.95,26924732.49,25715059.41,31365504.89
United States,Canada,Export,Hides and Skins,Export (US$ Thousand),190782.464,209219.136,225306.948,269952.22,261603.488,288996.304,337440.928,301008.728,278826.396,302103.629,266899.05,256435.179,268184.837,301131.47,330224.938,354627.309,410468.34,423206.522,368636.816,450737.764,576552.401,716451.285,819797.613,903618.017,839951.344,821175.919,737234.707,800056.764,775999.937,555164.393,644812.049
United States,Canada,Export,Stone and Glass,Export (US$ Thousand),1816800.624,1960567.088,2417772.224,2245101.104,2250418.304,2494616.416,2869180.736,2881133.184,2876126.592,3181880.861,2993784.246,3155735.509,3251447.413,3919071.157,3840383.816,5113147.944,5820113.456,7349090.076,5735242.394,7131978.053,8082059.141,7996056.389,7615444.223,7171349.877,6839433.284,6959283.049,6181000.089,7025273.751,7364986.918,10513730.87,13201138.65
United States,Canada,Export,Minerals,Export (US$ Thousand),723078.56,721050.048,714064.608,850067.328,970527.072,865778.432,931063.968,827268.48,855754.304,873209.538,826199.085,809190.229,891329.3,1121862.673,1527868.062,2024381.777,2336266.098,2656328.536,1427187.518,2286843.76,2794863.034,2563989.133,2497384.62,2752747.904,2239025.905,2079178.252,2561071.302,2799117.616,2624984.503,2627907.146,3309065.533
United States,Canada,Export,Animal,Export (US$ Thousand),1031836.928,971438.024,1015368.352,1093296.576,1157125.924,1175227.78,1209057.672,1223702.364,1365170,1516481.074,1506773.456,1409101.753,1462036.497,1449596.145,1643173.222,1914084.504,2307225.599,2507171.255,2333090.301,2715316.888,3237904.012,3564897.516,3604487.427,3510141.307,3252797,3115326.995,3063191.734,3033624.183,2987338.858,3047853.409,3873281.972
United States,Canada,Export,Transportation,Export (US$ Thousand),19820052.78,20238149.44,22708497.14,26560878.5,28382043.15,29382048.4,33927932.45,34310642.03,37261529.34,37747758.14,34739360.84,37447400.91,39420542.1,40819301.01,44483625.36,50716938.7,55642932.27,51477939.65,32353578.02,44029753.74,48974378.74,52108727.86,53812590.71,53303275.94,49531042.58,57512645.31,61665747.39,63427502.43,62876854.35,45329410.49,52327159.26
United States,Canada,Export,Metals,Export (US$ Thousand),5411160.028,5622715.652,6278725.637,7393561.434,8609531.734,8695963.128,10363078.82,10494444.66,10970596.12,13126761.1,10911631.93,11067915.74,11328731.23,13938327.37,16218103.82,18535408.9,19751927.1,21817251.9,14623708.84,19680712.77,22348224.73,22930278.77,22115409.3,22345986.24,18692441.04,16964467.1,18745439.17,19362633.53,17206319.86,14984905.94,20152369.18
United States,Canada,Export,Plastic or Rubber,Export (US$ Thousand),4065371.264,4475784.192,4986113.024,5753806.464,6441453.696,7026508.416,7969872.896,8423674.624,9258647.296,10085889.85,9625088.562,9985939.298,10507546.6,11772087.54,13269388.55,14140062.42,14463236.78,15173631.93,12590609.04,15409500.05,17285729.17,17975529.62,17772269.42,18351257.19,16760041.19,16222847.58,17228784.04,18006130.62,16973295.66,15744528.08,19963334.17
