Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,Mexico,Import,Food Products,Import (US$ Thousand),601341.464,611951.65,675002.71,809575.057,967059.214,1201660.608,1459451.408,1693354.095,1905646.237,2102048.491,2318282.133,2812879.461,3014172.47,3352220.229,3961028.655,4863212.984,4849165.08,5358799.109,5522421.494,6363278.763,7446599.918,7091239.413,7918434.389,8581728.766,9127359.76,9804702.585,10525477.2,11367498.99,12272507.25,13847199.3,16583922.89
United States,Mexico,Import, Intermediate goods,Import (US$ Thousand),2589273.971,2989213.121,3325918.144,4334451.139,5794598.794,6309730.668,7151763.612,7646560.451,8164721.132,8698450.561,8436247.678,9754887.959,10095814.22,12522101.5,14197755.3,16139896.93,16707562.91,17871059.96,14458561.98,20177189.59,26512906.34,27573815.66,25124650.09,26293321.38,25490214.11,25427355.69,26101805.64,28324354.33,27865390.28,25864883.35,32434956.12
United States,Mexico,Import,Miscellaneous,Import (US$ Thousand),3424213.776,3934555.419,4700186.007,5868990.249,6971007.72,7907600.325,9216973.411,11203303.92,13035144.69,9425297.03,9855412.31,11650140.3,12226393.38,12441315.18,12925338.94,13736579.01,22213357.72,21472857.47,18923608.04,22710362.43,24166601.64,27052814.19,28278679.37,31483178.47,33828378.4,34458731.96,35184984.02,37188651.05,37857941.43,34777959.8,40224447.21
United States,Mexico,Import,Hides and Skins,Import (US$ Thousand),120861.137,149553.435,167945.385,205366.909,235420.235,257444.046,273701.607,302840.999,303439.627,285460.648,236218.5,217681.18,199494.252,194472.34,180242.08,162574.888,161098.943,159633.84,133933.253,151828.913,187173.429,251316.76,264883.248,315564.449,338149.816,317745.554,298933.534,366592.802,277793.256,256864.801,360025.733
United States,Mexico,Import,Stone and Glass,Import (US$ Thousand),650818.96,749198.512,785455.672,977884.896,1169735.592,1425156.976,1503181.392,1807941.28,1866206.912,2001945.868,1981155.717,2260837.053,2390226.275,3009545.036,3634056.838,4864886.052,4841260.11,5338159.952,6409662.516,8757361.186,11970042.14,11945873.53,9641151.659,8538603.987,8080938.539,8300995.18,8197557.383,8316480.55,8390314.581,8616353.683,9415246.76
United States,Mexico,Import,Minerals,Import (US$ Thousand),407536.288,328396.992,218485.936,262117.184,373846,352766.504,311969.84,348881.56,286053.98,210415.004,200655.264,236885.855,273303.947,391413.313,531743.748,494525.927,465254.347,595701.92,314398.009,463868.06,670480.723,469186.614,393361.058,519791.72,431574.998,353538.766,481815.718,724542.963,844394.746,853924.239,1207222.36
United States,Mexico,Import,Animal,Import (US$ Thousand),649254.12,579544.066,729534.015,704302.053,1024995.041,597780.889,690009.517,721340.203,820609.362,961119.24,920780.42,724237.29,941744.746,1061488.541,1086813.335,1124812.104,1160492.164,981379.401,1092902.61,1242519.612,1565666.069,1849787.134,1728783.867,2323972.495,2756170.027,2453581.654,2640365.565,2783777.069,3070098.867,3265975.741,3670060.663
United States,Mexico,Import,Transportation,Import (US$ Thousand),4346810.072,5217743.818,6281387.96,7344559.91,10559709.86,14383948.85,15701108.27,17323659.29,20879706.88,26630009.54,26604119.77,26790360.06,25723596.62,26500710.39,27291038.47,33774724.51,34514365.86,32910796.61,27361803.07,40899072.6,46776988.49,54535224.25,60719676.54,69791404.1,76753240.18,76794990.79,85694897.45,95694338.52,104234615.2,84866318.05,95844628.1
United States,Mexico,Import,Metals,Import (US$ Thousand),1186974.532,1349307.661,1623293.513,2181258.124,3096145.404,3330230.155,3828721.76,4134438.285,4313591.38,4862043.218,4581367.812,4990120.931,4978877.721,6958327.084,8156092.886,8843268.937,9499061.518,9681453.461,6095732.649,7893197.298,10053843.33,10146833.23,9853501.81,11347359.64,10521372.19,10225954.02,11486784.16,13125056.68,13015279.76,12268529.74,18323928.76
United States,Mexico,Import,Plastic or Rubber,Import (US$ Thousand),403271.872,467056.552,525955.712,699347.056,930643.552,1018891.072,1189202.304,1362710.752,1539184.384,1771472.519,1781760.676,1980173.215,2195586.617,2845912.24,3427975.507,3667714.661,3930479.5,4091326.609,3532525.071,4467230.87,5305009.504,5749882.496,6046294.699,6771065.639,7068982.158,7064172.531,7557515.057,8500602.355,8435551.591,8145150.006,10771640.01
United States,Mexico,Import,Mach and Elec,Import (US$ Thousand),10801293.57,12817905.92,14770683.9,19876793.86,22902598.66,26683892.74,32021975.04,37583217.66,43294018.56,52815708.08,51627514.23,50601086.68,50483929.38,57698221.52,61531244.67,71127606.49,80084871.84,78654356.97,68379697.65,87904953.02,93268445.57,99078954.49,100028525.6,103528299.6,112575649.3,112653364.6,115641119.6,127521809,130199389.6,121996365.1,141919815.8
United States,Mexico,Import, Capital goods,Import (US$ Thousand),9079559.821,11131173.65,13194908.26,17373246.06,21132838.2,25689945.88,30635403,35203141.45,43656235.73,52839653.67,53879467,53760708.8,54817033.4,61191387.53,63707004.22,71609543.51,77998221.52,76497027.63,70003895.85,97442443.1,107586704.5,117548713.3,123865810.7,135881800.5,148945047.2,152119725.2,158608848.4,175794655.5,183532682.1,165611318,192140809.9
United States,Mexico,Import, Raw materials,Import (US$ Thousand),7440095.304,7261247.268,7369819.067,7932311.931,9936406.874,10429182.6,12510555.67,9674128.199,11421743.94,16326683.06,13636682.43,16049001.17,19828097.4,24520275.41,30349905.99,37984373.16,38888972.97,45952875.78,30558151.34,39904856.47,51576298.25,48823709.1,44296863.24,42795005.99,28410713.36,24482912.67,28186347.95,33357307.79,33087185.07,30591244.26,38250478.47
United States,Mexico,Import,Wood,Import (US$ Thousand),429811.849,510874.259,514020.137,563476.432,787746.13,849670.561,974423.164,1020677.56,1064704.25,1053271.126,998865.932,1060654.824,1101200.087,1306653.34,1449487.807,1640557.837,1641736.439,1486885.479,1228331.952,1398560.528,1518383.155,1569356.809,1691758.188,1891027.707,2027309.355,1983696.842,2037994.021,2242976.135,2154994.565,2333430.063,2680416.943
United States,Mexico,Import, Consumer goods,Import (US$ Thousand),11037144.13,12678946.72,14538355.97,18394062.12,23070767.67,28551153.77,33292243.07,39375133.78,42616635.34,52252042.98,49671594.78,50731252.39,49110551.17,53159042.97,57581850.63,67595977.57,71561158.13,70026955.58,56548391.07,67689450.39,72640838.35,76364017.36,79844154.63,83498743.2,87286029.55,86006268.09,94108504.45,102575555.7,107770453.2,98243359.9,116103808.6
United States,Mexico,Import,Chemicals,Import (US$ Thousand),665565.61,767578.703,683030.15,881900.41,1073781.567,1143884.588,1336908.99,1361624.137,1503195.248,1605307.053,1536447.475,1608582.454,1698295.894,2185258.981,2207880.969,2589933.974,2569431.996,2772323.125,2287684.945,2765119.157,3219242.717,3381983.538,3640663.693,4037355.187,3942269.58,3807367.416,4152475.421,4512198.118,4732582.492,4969604.258,5592561.382
United States,Mexico,Import,Textiles and Clothing,Import (US$ Thousand),1185404.206,1485326.634,1779750.715,2353635.553,3649717.556,4767085.649,6503833.402,8033200.524,9211249.743,10241635.72,9592539.222,9417443.544,8781270.228,8610198.332,8042718.409,7191281.953,6366095.424,5595861.063,4832067.076,5191306.27,5561367.718,5368497.601,5387933.44,5534763.341,5408035.952,5197086.262,5425940.608,5426102.057,5198944.797,4474671.389,5279005.881
